批量导入报告 - 2026-04-25 16:13:42
目录: D:\pyprocesses\deep_rag_product_assistant\backend\data\raw\Al-Zn-Mg
产品名称: Al-Zn-Mg 合金
文档类型: paper
============================================================

总计: 161 | 成功: 161 | 失败: 0

成功文件:
  ✅ applsci-11-00470.pdf: 成功, document_id: e9b87981-8a50-46
  ✅ BF00356137.pdf: 成功, document_id: ee8e5021-1dba-43
  ✅ coatings-12-00787.pdf: 成功, document_id: 0552f939-a01a-44
  ✅ Dong_2019_Mater._Res._Express_6_096501.pdf: 成功, document_id: 3a82ed0a-3ae5-47
  ✅ Image_Deep_Learning_Assisted_Prediction_of_Mechanical_and_Corrosion_Behavior_for_Al-Zn-Mg_Alloys.pdf: 成功, document_id: f404c70c-c2d0-4b
  ✅ Influence-of-Tellurium-on-microstructure-mechanical-and-corrosion-properties-of-Al–Zn-Mg-alloys.pdf: 成功, document_id: 80c32e18-4793-4e
  ✅ materials-13-01909 (1).pdf: 成功, document_id: 378d4420-a7dd-4e
  ✅ materials-13-01909.pdf: 成功, document_id: 3b46fe2e-2224-4a
  ✅ materials-13-03299-v2 (1).pdf: 成功, document_id: 16621e3a-0f02-43
  ✅ materials-13-03299-v2.pdf: 成功, document_id: 8124b369-32f4-40
  ✅ materials-13-04791.pdf: 成功, document_id: 1fcb576c-2ab8-4d
  ✅ materials-15-00589.pdf: 成功, document_id: 19632d47-cdd6-43
  ✅ materials-15-06955-v2.pdf: 成功, document_id: 822e93c0-872e-45
  ✅ materials-16-03769.pdf: 成功, document_id: 91cc677e-5833-4a
  ✅ materials-16-04346.pdf: 成功, document_id: 2a8ac424-5dcc-44
  ✅ materials-17-00628-v2.pdf: 成功, document_id: b3be8e7f-0f56-42
  ✅ materials-18-03541.pdf: 成功, document_id: f94b71c9-a5e3-42
  ✅ metals-08-00527.pdf: 成功, document_id: 05222cfd-8d8a-4e
  ✅ metals-10-01194-v2.pdf: 成功, document_id: cd17af8d-150e-4b
  ✅ metals-12-00259-v2.pdf: 成功, document_id: 64abd42e-f368-4e
  ✅ metals-12-01610-v2.pdf: 成功, document_id: d406b9a6-1e36-4c
  ✅ metals-13-00829.pdf: 成功, document_id: 22535c4e-082e-44
  ✅ metals-14-00625.pdf: 成功, document_id: 69b35fe5-1292-47
  ✅ metals-15-01211.pdf: 成功, document_id: c2069255-1810-4d
  ✅ s10853-008-2773-0.pdf: 成功, document_id: e701ac19-7db3-4e
  ✅ s10853-020-05438-0.pdf: 成功, document_id: 49262c32-f42f-48
  ✅ s10853-021-06692-6.pdf: 成功, document_id: 5edd2e0e-d75b-46
  ✅ s10973-018-7856-9.pdf: 成功, document_id: 2aacd317-4d43-4d
  ✅ s11661-016-3484-9.pdf: 成功, document_id: 23386aa5-9267-44
  ✅ s11661-018-4832-8.pdf: 成功, document_id: c6e2f798-fb2a-4f
  ✅ s11661-020-05768-3.pdf: 成功, document_id: 96b5f1b0-9c6e-45
  ✅ s11665-018-3691-1.pdf: 成功, document_id: 9f2549d4-e100-4b
  ✅ s11665-019-03888-5.pdf: 成功, document_id: d08ca77f-f059-42
  ✅ s11665-020-04980-x.pdf: 成功, document_id: 3177d87e-85d6-48
  ✅ s11665-021-05856-4.pdf: 成功, document_id: 3874ea4d-aa9f-4d
  ✅ s11665-021-06298-8.pdf: 成功, document_id: 09adc958-d88c-49
  ✅ s11665-022-07052-4.pdf: 成功, document_id: de05a032-e0a3-4b
  ✅ s11665-023-08046-6.pdf: 成功, document_id: 3b26db8c-6b1d-43
  ✅ s11665-023-08411-5.pdf: 成功, document_id: 5c7353f5-008e-42
  ✅ s11837-018-3170-z.pdf: 成功, document_id: 0345d6b1-a639-47
  ✅ s12540-018-0057-z.pdf: 成功, document_id: a5e316b4-fd0e-42
  ✅ s12540-020-00730-9.pdf: 成功, document_id: 909f4dab-b0a0-45
  ✅ s12666-020-01995-9.pdf: 成功, document_id: e5594dab-285f-40
  ✅ s12666-021-02351-1.pdf: 成功, document_id: 8a0c20d1-722f-4b
  ✅ s13369-021-06531-5.pdf: 成功, document_id: e54952bb-fe43-4b
  ✅ s13632-022-00834-1.pdf: 成功, document_id: 2c4dd634-f3cc-44
  ✅ s40033-021-00326-6.pdf: 成功, document_id: 3dcba106-d082-42
  ✅ s40195-016-0510-2 (1).pdf: 成功, document_id: 6fa64f91-ac7d-46
  ✅ s40195-016-0510-2.pdf: 成功, document_id: 51b99058-ddc0-43
  ✅ s40195-022-01373-y (1).pdf: 成功, document_id: 18f8141d-c2b4-46
  ✅ s40195-022-01373-y.pdf: 成功, document_id: 2d731eee-bf55-4e
  ✅ sciadv.adf7426.pdf: 成功, document_id: a881df6e-a86b-46
