批量导入报告 - 2026-05-07 18:24:32
目录: D:\pyprocesses\deep_rag_product_assistant\backend\data\raw\new
产品名称: 新合金论文
文档类型: paper
============================================================

总计: 530 | 成功: 530 | 失败: 0

成功文件:
  ✅ s11665-023-08046-6.pdf: 成功, document_id: a4654927-098e-43
  ✅ s11665-023-08411-5.pdf: 成功, document_id: 58d7054d-243e-43
  ✅ s11665-023-09025-7.pdf: 成功, document_id: 1a36e645-5217-4d
  ✅ s11668-020-01071-w.pdf: 成功, document_id: 43895af2-dc83-4b
  ✅ s11668-021-01150-6.pdf: 成功, document_id: 2134557b-ce2a-44
  ✅ s11671-018-2542-1.pdf: 成功, document_id: b7a19a85-2bc1-40
  ✅ s11837-018-3170-z.pdf: 成功, document_id: 71a980ce-ff2f-44
  ✅ s12540-018-0057-z.pdf: 成功, document_id: 64433242-4f86-48
  ✅ s12540-018-0128-1.pdf: 成功, document_id: 38156f0c-f4d7-46
  ✅ s12540-020-00730-9.pdf: 成功, document_id: c2552ae8-5d34-4a
  ✅ s12540-020-00865-9 (1).pdf: 成功, document_id: 96959e31-3246-42
  ✅ s12540-020-00865-9.pdf: 成功, document_id: c2709d26-1e82-4a
  ✅ s12540-021-01092-6.pdf: 成功, document_id: 212615db-54fa-42
  ✅ s12666-008-0056-8.pdf: 成功, document_id: 9e90be30-c491-43
  ✅ s12666-018-1328-6.pdf: 成功, document_id: 10122f07-0287-48
  ✅ s12666-020-01995-9.pdf: 成功, document_id: 732d03c9-c95a-4a
